Timestamp,ISBN,Title,Author,Publisher,Year,Summary,Genre,Reading level,Page count,Price
,9789849244203,Saaraa Jokhon Chaand Gile Fello,Aleem Aziz,IKRIMKRI BOOK STUDIO,,,Fiction,5,14,10
,,Laal Paakhi Neel Paakhi,,Brac,,,Fiction,2,12,5
,9848494183,Aami Ektaa Mojaar Sopno Dekhechhi Level-4 Book-3,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9848494379,Mimir Jonmodin,Saamsi Haasaan,World of Children's Books Ltd,,,,4,15,5
,9841901022,Bondhur Khoje,Tonimaa Afroj,Brac,,,Fiction,5,12,10
,9848494108,Aami Aar Baabaa Cake Baanaai Level-3 Book-1,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9843000005375,Naamaaj Kivaabe Porte Hoy,Saniyasnain Khan,Bangla Prokaash,,,General,6,24,5
,,Sojaru Chhaanaa,,Brac,,,Fiction,2,8,5
,,Golper Asor-4,,Brac,,,Fiction,4,20,10
,,Golper Asor-3,,Brac,,,Fiction,4,27,10
,9848494311,Sobaai Mile Khelaa Kori,Saamsi Haasaan,World of Children's Books Ltd,,,,4,15,5
,9841900416,Kusum Koli,Dr. Joya Senguptaa,Brac,,,Fiction,5,24,10
,9841900416,Kusum Koli,Dr. Joya Senguptaa,Brac,,,Fiction,5,24,10
,9841900416,Kusum Koli,Dr. Joya Senguptaa,Brac,,,Fiction,5,24,10
,9841900416,Kusum Koli,Dr. Joya Senguptaa,Brac,,,Fiction,5,24,10
,9848494242,Kochhoper Golpo Level-5 Book-3,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,,Haas Aar Murgi,,Brac,,,Fiction,2,8,5
,9841900793,Podmodighir Mukta,Ronjon Haldar,Brac,,,Fiction,6,24,10
,9841900793,Podmodighir Mukta,Ronjon Haldar,Brac,,,Fiction,6,24,10
,9848494285,Tumi Ki Amaar Maa,Saamsi Haasaan,World of Children's Books Ltd,,,,4,15,5
,9848494242,Kochhoper Golpo Level-5 Book-3,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9789849125181,Aamio Jaabo,Nirapod Sorkaar,Boi Porhi,,,,2,12,5
,9789849125181,Aamio Jaabo,Nirapod Sorkaar,Boi Porhi,,,,2,12,5
,9789849125228,Aamaar Saathe Porho,Niraapod Sorkaar,Boi Porhi,,,Fiction,1,16,5
,9789849125228,Aamaar Saathe Porho,Niraapod Sorkaar,Boi Porhi,,,Fiction,1,16,5
,,Motuk Berhaal Level-4 Book-1,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,,Jeebon Baachaano,Animation,Brac,,,Fiction,4,26,10
,9841901057,Hojjar Chhagol,,Brac,,,Fiction,5,8,5
,9848494344,Uler Ball,Saamsi Haasaan,World of Children's Books Ltd,,,,4,15,5
,9848494,Jhor Elo Level-3 Book-6,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9841900971,Ghurhi Orhaanor Melaa,Litu Sakhawaat,Brac,,,Fiction,4,16,10
,9841900971,Ghurhi Orhaanor Melaa,Litu Sakhawaat,Brac,,,Fiction,4,16,10
,,Maamaa O Aami Haate Jaai,,Brac,,,Fiction,2,8,5
,,Ek Minuter Moddhe,,Brac,,,Fiction,3,8,5
,9841901049,Dekchir Bachcha,,Brac,,,Fiction,4,8,5
,9789383202393,Hanuman,,,,,General,1,,5
,,Mitaar Peyaaraa Khaawaa,,Brac,,,Fiction,2,12,5
,9789849234197,Jirodhnee,Nikhil Chondro Daash,IKRIMKRI BOOK STUDIO,,,Fiction,4,16,10
